label,Question 
valid,Tell me about a time when you couldn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t implement the best solution because of a close deadline
valid,What did you do about it afterwards
valid,General design pattern related questions like what if we use singleton design pattern for question 1
valid,How is a file transferred via ftp and how exactly does FTP work? How many sockets would be required for one file transfer? (I could not really get what he tried to ask)
valid,What is the path followed if my system wants to connect to some given IP of another system?
valid,What algorithm is used for garbage collection in Java?
invalid,IPv4 packet structure
valid,How DHCP works?
invalid,She asked me about my background
valid,Why should I choose you?
valid,Why Oracle?
valid,Any location preference between Hyderabad, Bangalore and Noida?
valid,Any questions for the team?
valid,First question was Consult vs i-bank. My reply was centered around how consultancy uses a diverse skill set and how my background makes me more suitable for consultancy
valid,General discussion about life at College. How am i finding the academics at the B-School
invalid,Most of the discussion was about my work-experience. I had handled some industrial relations problem in my job, that was discussed for some 5-7 minutes
valid,Again discussion about my job and how my employer was doing in the market
valid,What will be 3 good and 3 bad things that my sub-ordinates will say about me if they call him up now.
valid,Towards the end he asked me how did I find the interaction, to which I said that i was expecting a case, but I am not complaining ;) After this round they gave me strong signals
valid,Again some general talk and then he said lets discuss a case. He asked me to choose between Manufacturing and Services, i chose services (dont know why), then he said will financial services be OK (i couldn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t say no ;) )
valid,Case: A UK bank wants to come to India and they have hired you as a consultant. What will you do?
valid,He then specifically told me to ask questions
invalid,Q1 asked by me: Legal feasibility of a foreign bank coming to India. he told me the legal situation
valid,Q2 asked by me: What kind of bank is UK bank, retail/investment? ans. Universal banking
valid,What are its strengths: a strong retail banking business in UK and neighboring countries?
valid,Then i attempted to analyze it through marketing fundae: what are the needs of Indian consumer which this bank will be able fulfill
invalid,HR Based/Personality Questions
valid,Tell me about yourself
valid,My biggest achievement
valid,Half of it was personal
valid,I was allowed to talk on \xc3\xa2\xe2\x82\xac\xc5\x93Tell me about yourself\xc3\xa2\xe2\x82\xac\xc2\x9d for around 5 minutes
invalid,Again mostly personal
valid,Was cross-questioned a lot
valid,A lot on the social intiative I had conceptualised and executed
valid,More than half the interview again personal
invalid,On my Resume \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Was questioned on all parts \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Positions of Responsibility, Work-ex, Passion
valid,There was a case on \xc3\xa2\xe2\x82\xac\xc5\x93Marketing strategy for 3G phones\xc3\xa2\xe2\x82\xac\xc2\x9d ?
valid,The case went like this \xc3\xa2\xe2\x82\xac\xc5\x93I urgently have to go to New york and my travel agent tells me that I have to catch a Lufthansa till paris and catch a continental from there till new york. He charges me Rs.50000 for the same. Tell me what part of this will goto Lufthansa and what part will goto continental\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Then there was a case on \xc3\xa2\xe2\x82\xac\xc5\x93Strategy for introducing Indian basketball league on the lines of Indian premier league\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Why Mckinsey?
valid,What is your USP?
valid,Conflicts you faced during your leadership stints and how did you resolve them?
invalid,Was asked multiple examples on same situations
valid,Do you have any questions on Mckinsey?
invalid,Case on launching a youth mobile package involving 3G services
valid,Case on Product Mix strategy for an automobile firm
valid,Case on supply chain management of a firm owning chain of restaurants
valid,Resume Based Questions :-- Your achievements
valid,- Was asked to Connect dots on the points on my resume which I had highlighted
invalid,Engagement Manager, Mumbai office
valid,General Questions on Resume which I answered well as I was prepared
valid,An IT company is following loss in profits. Find out the cause and how will you solve the problem
invalid,Interview 1 : Partner, Mumbai Office
invalid,Questions on resume
valid,What are my greatest achievements.
invalid,Partner, Gurgaon Office ( Videoconferencing )
valid,Again questions on my resume and experience before MBA
valid,Was asked a guesstimate question to find the number of smart phones in the country for the next 3 years.
valid,the interviewer asked many questions on why I took particular assumptions. Did Ok but it was a bit difficult due to video conferencing interviews
valid,\xc3\xa2\xe2\x82\xac\xc5\x93What is the difference u find between IIT and IIM?\xc3\xa2\xe2\x82\xac\xc2\x9d\xc3\xa2\xe2\x82\xac\xc2\xa6this was asked twice
valid,BCG also asked given a choice between Mckinsey and BCG what will I choose
valid,Again a lot from what i had learned in my Job
valid,Again great focus on why consults and why not i-banks
valid,General discussion was quite similar to the one at Mckinsey
valid,Case on taxi-driver: A taxi driver in mUmbai is not earning enough, how will u help him. I anlaysed the case by workign from 2 sides i)how to reduce his cost i) How to increase his revenue
valid,Case on a bank (yeah! another one! ) A bank had 5 branches in a city that were offering home loans. The bank took a decision to centralise the entire loan lending operation to the main branch. The number of loan takers dropped drastically. What should the bank do?
valid,Tell me about yourself
valid,why Consulting
valid,why not Finance and Why BCG?
valid,Client is a motor Insurance company that has lost market share in the past 1 year. What can be done?
valid,Client wants to bid for an IPL franchise, Lucknow Nawabs. Client\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s focus in more on profits than winning the tournament. What strategy to follow
valid,It started with Tell me about yourself
valid,FMCG sector \xc3\xa2\xe2\x82\xac\xe2\x80\x9c biscuit manufacturing company \xc3\xa2\xe2\x82\xac\xe2\x80\x9c The market was growing but the market share of the company was falling
valid,It started off with how I managed to make time for all my different extra-curricular . Case Study- Technology company wanting to expand in size. Suggest ways to tap the Indian education sector with the available technology of the firm
valid,It started with what do you think about economists in general-which i think was because of my economics background
